notes,category,amount_idr,month,is_weekend,day_of_week
naik ojek online,transportasi,194000,1,True,Saturday
bayar kursus online,pendidikan,872000,1,True,Saturday
ganti oli motor,transportasi,90000,1,True,Saturday
bayar tol,transportasi,36000,1,True,Saturday
naik ojek online,transportasi,148000,1,True,Saturday
beli laptop pelajar,pendidikan,8554000,1,True,Sunday
slip gaji diterima,gaji,10234000,1,True,Sunday
bayar tagihan rs,kesehatan,1412000,1,False,Monday
menabung untuk liburan,tabungan,686000,1,False,Monday
top up tabungan emas,investasi,2169000,1,False,Monday
main escape room,hiburan,125000,1,False,Monday
makan bareng keluarga,makanan,175000,1,False,Monday
uang muka sewa kos,tempat_tinggal,1282000,1,False,Tuesday
perpanjang kontrak rumah,tempat_tinggal,1810000,1,False,Tuesday
beli laptop pelajar,pendidikan,8443000,1,False,Wednesday
beli buku impor,pendidikan,253000,1,False,Wednesday
liburan akhir pekan,hiburan,894000,1,False,Wednesday
slip gaji diterima,gaji,11517000,1,False,Thursday
beli snack kantor,makanan,17000,1,False,Thursday
ganti oli motor,transportasi,95000,1,False,Thursday
proyek desain presentasi,freelance,2311000,1,False,Friday
bayar bootcamp,pendidikan,239000,1,False,Friday
tabungan masa depan,tabungan,1650000,1,True,Saturday
biaya sewa studio,tempat_tinggal,1986000,1,True,Saturday
piknik di taman,hiburan,300000,1,True,Saturday
nonton pertandingan bola,hiburan,295000,1,True,Sunday
perpanjang paket internet,tagihan,290000,1,True,Sunday
makan di kantin,makanan,25000,1,True,Sunday
beli bubur pagi,makanan,10000,2,False,Monday
bayar tagihan air,tagihan,94000,2,False,Monday
beli saham teknologi,investasi,6725000,2,False,Monday
servis ac mobil,transportasi,880000,2,False,Monday
bayar ukt semester,pendidikan,306000,2,False,Tuesday
bayar wifi rumah,tagihan,372000,2,False,Wednesday
gaji plus lembur,gaji,15089000,2,False,Wednesday
makan malam di restoran,makanan,74000,2,False,Wednesday
beli perlengkapan kamar,lainnya,240000,2,False,Wednesday
bayar tv kabel,tagihan,371000,2,False,Wednesday
beli perlengkapan ibadah,lainnya,242000,2,False,Wednesday
bayar tagihan phone,tagihan,201000,2,False,Wednesday
makan di warteg,makanan,159000,2,False,Wednesday
pesan nasi goreng online,makanan,19000,2,False,Thursday
bayar ipl apartemen,tempat_tinggal,7588000,2,False,Thursday
main biliar,hiburan,300000,2,False,Friday
biaya bensin mobil,transportasi,106000,2,True,Saturday
deposit awal sewa,tempat_tinggal,4305000,2,True,Saturday
pesan grabfood,makanan,86000,2,True,Saturday
makan siang bareng teman,makanan,74000,2,True,Saturday
iuran kebersihan lingkungan,tempat_tinggal,35000,2,True,Saturday
bayar uang kebersihan,tempat_tinggal,67000,2,True,Sunday
beli jajanan pasar,makanan,59000,2,True,Sunday
biaya keamanan komplek,tempat_tinggal,2611000,2,True,Sunday
bayar bpjs kesehatan,tagihan,190000,2,True,Sunday
bayar paket data,tagihan,195000,2,False,Monday
makan di mcdonald,makanan,63000,2,False,Monday
pesan pizza online,makanan,84000,2,False,Monday
beli alat tensi,kesehatan,329000,2,False,Tuesday
bayar tagihan listrik,tagihan,203000,2,False,Tuesday
pesan grabfood,makanan,90000,2,False,Wednesday
ganti ban motor,transportasi,550000,2,False,Thursday
nonton konser online,hiburan,379000,2,False,Thursday
biaya pengelolaan apartemen,tempat_tinggal,5922000,2,False,Friday
beli kamus,pendidikan,305000,2,False,Friday
naik krl commuter line,transportasi,140000,2,False,Friday
bayar deposit apartemen,tempat_tinggal,2744000,2,False,Friday
beli kamus,pendidikan,154000,2,False,Friday
beli tiket kereta,transportasi,356000,2,False,Friday
tes laboratorium,kesehatan,341000,2,False,Friday
pendapatan proyek konten,freelance,1680000,2,False,Friday
beli sbn ritel,investasi,7581000,2,False,Friday
nonton konser online,hiburan,457000,2,True,Saturday
naik gojek pulang,transportasi,32000,2,True,Saturday
pesan martabak,makanan,88000,2,True,Saturday
bayar premium spotify,tagihan,269000,2,True,Saturday
nonton bioskop bareng,hiburan,165000,2,True,Saturday
bonus ekstra dari kantor,bonus,3490000,2,True,Saturday
biaya keamanan komplek,tempat_tinggal,1937000,2,True,Sunday
pesan dim sum,makanan,124000,2,True,Sunday
bayar kos bulanan,tempat_tinggal,1067000,2,True,Sunday
naik krl commuter line,transportasi,140000,2,True,Sunday
makan di kantin,makanan,42000,2,True,Sunday
beli minuman kekinian,makanan,62000,2,True,Sunday
gaji diterima bulan ini,gaji,15216000,2,True,Sunday
bayar wifi rumah,tagihan,324000,2,False,Monday
makan di food court,makanan,115000,2,False,Monday
belanja kebutuhan bulanan,lainnya,285000,2,False,Monday
bayar kontrakan,tempat_tinggal,2153000,2,False,Monday
bayar pulsa bulanan,tagihan,193000,2,False,Tuesday
perpanjang kontrak rumah,tempat_tinggal,2049000,2,False,Tuesday
bayar kontrakan,tempat_tinggal,1984000,2,False,Tuesday
pesan martabak,makanan,72000,2,False,Tuesday
top up kartu etoll,transportasi,55000,2,False,Wednesday
naik mrt jakarta,transportasi,109000,2,False,Wednesday
bayar tagihan air,tagihan,119000,2,False,Wednesday
perpanjang kontrak rumah,tempat_tinggal,4247000,2,False,Wednesday
proyek desain presentasi,freelance,4740000,2,False,Thursday
pesan pizza online,makanan,117000,2,False,Thursday
bayar parkir mall,transportasi,30000,2,False,Thursday
penerimaan upah kerja,gaji,15509000,2,False,Friday
uang sewa bulan ini,tempat_tinggal,1874000,2,False,Friday
pendapatan kursus online,freelance,1313000,2,False,Friday
uang muka sewa kos,tempat_tinggal,1637000,2,False,Friday
bayar uang kebersihan,tempat_tinggal,65000,2,False,Friday
transaksi harian rutin,lainnya,234000,2,True,Saturday
bayar paket data,tagihan,131000,2,True,Saturday
isi saldo emoney,transportasi,110000,2,True,Saturday
makan di kantin,makanan,18000,2,True,Saturday
pesan burger online,makanan,47000,2,True,Saturday
beli cilok,makanan,62000,2,True,Saturday
beli alat tensi,kesehatan,387000,2,True,Sunday
iuran kebersihan lingkungan,tempat_tinggal,78000,2,True,Sunday
gaji diterima bulan ini,gaji,6288000,2,True,Sunday
beli buku referensi,pendidikan,178000,2,True,Sunday
beli tiket konser,hiburan,630000,2,True,Sunday
naik ojek online,transportasi,76000,2,False,Monday
beli buku pelajaran,pendidikan,205000,2,False,Monday
beli bubur pagi,makanan,30000,2,False,Monday
beli aplikasi belajar,pendidikan,50000,2,False,Monday
beli bubur pagi,makanan,25000,2,False,Monday
beli buku pelajaran,pendidikan,219000,2,False,Tuesday
bayar kontrakan,tempat_tinggal,4048000,2,False,Tuesday
bayar wifi rumah,tagihan,461000,2,False,Tuesday
bayaran proyek desain ui,freelance,1680000,2,False,Tuesday
makan di warteg,makanan,57000,2,False,Tuesday
pembayaran upah bulanan,gaji,18370000,2,False,Wednesday
proyek website klien,freelance,8843000,2,False,Wednesday
naik ojek online,transportasi,126000,2,False,Wednesday
bayar kontrakan,tempat_tinggal,4200000,2,False,Wednesday
langganan youtube premium,hiburan,270000,2,False,Wednesday
karaoke bareng teman,hiburan,512000,2,False,Wednesday
beli jajanan pasar,makanan,121000,2,False,Wednesday
bayar parkir inap,transportasi,19000,2,False,Thursday
bayar cicilan motor,tagihan,255000,2,False,Thursday
uang muka sewa kos,tempat_tinggal,2438000,2,False,Friday
bayar parkir kantor,transportasi,12000,2,False,Friday
bayar les privat,pendidikan,238000,2,False,Friday
makan di kfc,makanan,41000,2,False,Friday
bayar asuransi jiwa,tagihan,568000,2,True,Saturday
perpanjang kontrak rumah,tempat_tinggal,4500000,2,True,Saturday
bayar langganan icloud,tagihan,14000,2,True,Saturday
transaksi harian rutin,lainnya,189000,2,True,Saturday
naik krl commuter line,transportasi,54000,2,True,Saturday
beli vitamin dan suplemen,kesehatan,137000,2,True,Sunday
top up emas antam digital,investasi,2396000,2,True,Sunday
bayaran jasa foto produk,freelance,5020000,2,True,Sunday
pendapatan kursus online,freelance,1007000,2,True,Sunday
bayar kursus coding,pendidikan,589000,3,False,Monday
bonus performance review,bonus,4692000,3,False,Monday
sarapan di warung,makanan,65000,3,False,Monday
iuran kebersihan lingkungan,tempat_tinggal,67000,3,False,Monday
langganan netflix bulanan,hiburan,134000,3,False,Monday
bayar ipl apartemen,tempat_tinggal,4045000,3,False,Tuesday
pesan ayam geprek,makanan,44000,3,False,Tuesday
main game online,hiburan,132000,3,False,Tuesday
karaoke bareng teman,hiburan,100000,3,False,Wednesday
transaksi harian rutin,lainnya,181000,3,False,Thursday
makan soto ayam,makanan,60000,3,False,Thursday
tagihan provider bulan ini,tagihan,176000,3,False,Thursday
main futsal,hiburan,82000,3,False,Thursday
beli snack kantor,makanan,29000,3,False,Friday
makan di mcdonald,makanan,91000,3,False,Friday
naik gojek pulang,transportasi,39000,3,False,Friday
nonton di bioskop xxi,hiburan,80000,3,True,Saturday
beli roti pagi,makanan,13000,3,True,Saturday
bayar cicilan sewa tahunan,tempat_tinggal,2084000,3,True,Saturday
makan di warteg,makanan,76000,3,True,Sunday
bayar kos minggu pertama,tempat_tinggal,2250000,3,True,Sunday
pesan shopeefood siang,makanan,107000,3,False,Monday
bayar sewa apartemen,tempat_tinggal,2869000,3,False,Monday
bayar uang kebersihan,tempat_tinggal,103000,3,False,Monday
beli buku pelajaran,pendidikan,270000,3,False,Monday
beli kopi pagi,makanan,57000,3,False,Monday
makan di food court,makanan,58000,3,False,Tuesday
bonus proyek selesai,bonus,2152000,3,False,Tuesday
bayar kursus coding,pendidikan,1506000,3,False,Tuesday
menabung untuk beli rumah,tabungan,1384000,3,False,Tuesday
bayaran proyek data entry,freelance,657000,3,False,Wednesday
pesan mie ayam,makanan,101000,3,False,Wednesday
konsultasi kulit,kesehatan,269000,3,False,Wednesday
bayar wifi rumah,tagihan,242000,3,False,Thursday
fee konsultasi bisnis,freelance,1831000,3,False,Thursday
isi saldo emoney,transportasi,75000,3,False,Thursday
isi bensin motor,transportasi,158000,3,False,Friday
bayar ipl apartemen,tempat_tinggal,3035000,3,False,Friday
jasa penerjemah dokumen,freelance,8905000,3,True,Saturday
beli roti pagi,makanan,9000,3,True,Saturday
naik bus transjakarta,transportasi,16000,3,True,Saturday
naik taksi online,transportasi,130000,3,True,Sunday
gaji pokok bulanan,gaji,19000000,3,True,Sunday
beli topup game,hiburan,61000,3,True,Sunday
sewa buku di perpus,hiburan,289000,3,True,Sunday
beli keperluan dapur,lainnya,161000,3,True,Sunday
bayar sewa rumah,tempat_tinggal,2304000,3,False,Monday
makan soto ayam,makanan,99000,3,False,Monday
pendapatan nulis artikel,freelance,5577000,3,False,Tuesday
pesan mie ayam,makanan,84000,3,False,Tuesday
sarapan di warung,makanan,81000,3,False,Tuesday
naik angkot ke pasar,transportasi,8000,3,False,Tuesday
simpan untuk keperluan mendesak,tabungan,1758000,3,False,Wednesday
bayar tol,transportasi,63000,3,False,Wednesday
beli topup game,hiburan,190000,3,False,Wednesday
bayar fisioterapi,kesehatan,184000,3,False,Wednesday
menabung rutin bulanan,tabungan,3000000,3,False,Wednesday
bayar tol,transportasi,24000,3,False,Wednesday
biaya sewa studio,tempat_tinggal,1223000,3,False,Thursday
makan di kfc,makanan,84000,3,False,Thursday
bayar imunisasi,kesehatan,369000,3,False,Thursday
beli kamus,pendidikan,214000,3,False,Thursday
naik gojek pulang,transportasi,28000,3,False,Friday
sarapan di warung,makanan,64000,3,False,Friday
langganan youtube premium,hiburan,143000,3,False,Friday
beli kopi pagi,makanan,58000,3,True,Saturday
beli masker kesehatan,kesehatan,317000,3,True,Saturday
makan di warteg,makanan,66000,3,True,Sunday
makan di warteg,makanan,142000,3,False,Monday
beli buku referensi,pendidikan,188000,3,False,Monday
isi saldo emoney,transportasi,142000,3,False,Tuesday
naik krl commuter line,transportasi,125000,3,False,Tuesday
bayar premi asuransi,tagihan,375000,3,False,Wednesday
ganti oli motor,transportasi,90000,3,False,Wednesday
naik angkot ke pasar,transportasi,12000,3,False,Wednesday
bayar tagihan phone,tagihan,386000,3,False,Thursday
menabung rutin bulanan,tabungan,1507000,3,False,Thursday
uang sewa bulan ini,tempat_tinggal,2641000,3,False,Friday
beli kopi pagi,makanan,60000,3,False,Friday
piknik di taman,hiburan,124000,3,False,Friday
beli cilok,makanan,113000,3,False,Friday
makan bareng keluarga,makanan,175000,3,False,Friday
pesan grabfood,makanan,98000,3,True,Saturday
dividen saham masuk,investasi,7837000,3,True,Saturday
bayar parkir inap,transportasi,21000,3,True,Saturday
beli peralatan sekolah,pendidikan,267000,3,True,Saturday
bayar cicilan sewa tahunan,tempat_tinggal,4400000,3,True,Sunday
perpanjang sewa kos,tempat_tinggal,1361000,3,True,Sunday
beli hadiah teman,lainnya,231000,3,True,Sunday
liburan akhir pekan,hiburan,788000,3,False,Monday
bayar deposit apartemen,tempat_tinggal,5692000,3,False,Monday
main futsal,hiburan,131000,3,False,Monday
main bowling,hiburan,189000,3,False,Monday
tambahan penghasilan bonus,bonus,3838000,3,False,Monday
bayar pulsa bulanan,tagihan,258000,3,False,Tuesday
beli buku pelajaran,pendidikan,300000,3,False,Tuesday
menabung untuk beli rumah,tabungan,1404000,3,False,Tuesday
bayar tagihan phone,tagihan,169000,3,False,Wednesday
bayar premi asuransi,tagihan,918000,3,False,Wednesday
pesan shopeefood siang,makanan,136000,4,False,Thursday
bayar kontrakan,tempat_tinggal,3369000,4,False,Thursday
konsultasi psikolog,kesehatan,489000,4,False,Thursday
pesan mie ayam,makanan,82000,4,False,Thursday
beli kamus,pendidikan,192000,4,False,Friday
bayar ujian sertifikasi,pendidikan,340000,4,True,Saturday
beli snack kantor,makanan,23000,4,True,Saturday
iuran rt bulanan,tempat_tinggal,155000,4,True,Saturday
makan di warteg,makanan,74000,4,True,Saturday
bayar cicilan sewa tahunan,tempat_tinggal,1639000,4,True,Sunday
makan di kantin,makanan,23000,4,True,Sunday
makan di warung padang,makanan,102000,4,True,Sunday
beli sabun dan sampo,lainnya,128000,4,True,Sunday
bonus performance review,bonus,2078000,4,True,Sunday
tagihan provider bulan ini,tagihan,131000,4,True,Sunday
beli minuman kekinian,makanan,118000,4,True,Sunday
uang sewa bulan ini,tempat_tinggal,1862000,4,False,Monday
pengeluaran harian,lainnya,126000,4,False,Monday
makan siang bareng teman,makanan,81000,4,False,Monday
bayar bootcamp,pendidikan,146000,4,False,Monday
naik bus transjakarta,transportasi,11000,4,False,Monday
bayar parkir inap,transportasi,14000,4,False,Monday
pesan shopeefood siang,makanan,80000,4,False,Tuesday
bayar les privat,pendidikan,296000,4,False,Wednesday
perpanjang sewa kos,tempat_tinggal,2750000,4,False,Wednesday
bayar bpjs kesehatan,tagihan,504000,4,False,Wednesday
bayar bpjs kesehatan,tagihan,258000,4,False,Wednesday
makan berdua di cafe,makanan,106000,4,False,Wednesday
beli obat resep,kesehatan,112000,4,False,Thursday
makan di warung padang,makanan,106000,4,False,Thursday
uang sewa bulan ini,tempat_tinggal,2031000,4,False,Thursday
pesan mie ayam,makanan,122000,4,False,Thursday
pesan ayam geprek,makanan,22000,4,False,Friday
bayar cicilan hp,tagihan,440000,4,False,Friday
bayar kartu kredit,tagihan,475000,4,False,Friday
deposit awal sewa,tempat_tinggal,6319000,4,True,Saturday
pesan dim sum,makanan,123000,4,True,Saturday
beli kebutuhan pribadi,lainnya,211000,4,True,Sunday
top up investasi crypto,investasi,2606000,4,True,Sunday
bayar kontrakan,tempat_tinggal,2461000,4,False,Tuesday
beli skin game,hiburan,108000,4,False,Tuesday
beli perlengkapan ibadah,lainnya,183000,4,False,Tuesday
beli jajanan pasar,makanan,79000,4,False,Wednesday
bayar tol,transportasi,49000,4,False,Wednesday
jasa desain logo,freelance,3396000,4,False,Wednesday
naik ojek online,transportasi,183000,4,False,Wednesday
beli snack kantor,makanan,48000,4,False,Thursday
bayar kartu kredit,tagihan,475000,4,False,Thursday
beli sabun dan sampo,lainnya,153000,4,False,Thursday
bayar tagihan gas,tagihan,120000,4,False,Friday
bayar parkir kantor,transportasi,21000,4,False,Friday
makan di mcdonald,makanan,150000,4,False,Friday
tagihan provider bulan ini,tagihan,86000,4,False,Friday
bayar tagihan listrik,tagihan,263000,4,False,Friday
iuran kebersihan lingkungan,tempat_tinggal,66000,4,False,Friday
bayaran proyek freelance,freelance,2863000,4,True,Sunday
pendapatan proyek konten,freelance,1232000,4,True,Sunday
bayar parkir kantor,transportasi,16000,4,True,Sunday
bayar sewa apartemen,tempat_tinggal,6372000,4,True,Sunday
bayar bpjs ketenagakerjaan,tagihan,347000,4,True,Sunday
beli aplikasi belajar,pendidikan,150000,4,True,Sunday
sewa buku di perpus,hiburan,265000,4,True,Sunday
liburan akhir pekan,hiburan,641000,4,True,Sunday
pembayaran gaji karyawan,gaji,8831000,4,False,Monday
bayar tagihan air,tagihan,121000,4,False,Monday
pesan gofood malam,makanan,47000,4,False,Monday
bayar paket data,tagihan,142000,4,False,Monday
insentif penjualan,bonus,4849000,4,False,Monday
bayar sewa apartemen,tempat_tinggal,3937000,4,False,Monday
beli sbn ritel,investasi,3049000,4,False,Tuesday
uang muka sewa kos,tempat_tinggal,2375000,4,False,Wednesday
beli buku referensi,pendidikan,217000,4,False,Wednesday
iuran kebersihan lingkungan,tempat_tinggal,130000,4,False,Wednesday
beli kartu krl,transportasi,60000,4,False,Thursday
bayar bootcamp,pendidikan,227000,4,False,Thursday
naik taksi online,transportasi,103000,4,False,Thursday
uang sewa bulan ini,tempat_tinggal,2690000,4,False,Friday
kontrol dokter spesialis,kesehatan,253000,4,False,Friday
ganti oli motor,transportasi,208000,4,False,Friday
fee konsultasi bisnis,freelance,3360000,4,False,Friday
streaming disney,hiburan,66000,4,True,Saturday
sarapan nasi uduk,makanan,95000,4,True,Saturday
beli nasi padang,makanan,91000,4,True,Saturday
bayar tv kabel,tagihan,384000,4,True,Sunday
biaya keamanan komplek,tempat_tinggal,1454000,4,True,Sunday
sewa kos bulanan,tempat_tinggal,812000,4,True,Sunday
insentif bulanan,bonus,4584000,4,False,Monday
bayar asuransi jiwa,tagihan,660000,4,False,Monday
beli jajanan pasar,makanan,55000,4,False,Monday
simpan dana darurat,tabungan,5000000,4,False,Tuesday
pesan shopeefood siang,makanan,112000,4,False,Tuesday
transfer tabungan pendidikan anak,tabungan,2564000,4,False,Tuesday
langganan netflix bulanan,hiburan,148000,4,False,Tuesday
perpanjang kontrak rumah,tempat_tinggal,5000000,4,False,Wednesday
karaoke bareng teman,hiburan,400000,4,False,Thursday
servis rutin motor,transportasi,516000,4,False,Thursday
beli buku impor,pendidikan,245000,4,False,Thursday
sewa ps sehari,hiburan,214000,4,False,Thursday
beli minuman kekinian,makanan,150000,4,False,Friday
karaoke bareng teman,hiburan,187000,4,False,Friday
beli bubur pagi,makanan,31000,5,True,Saturday
isi bensin motor,transportasi,241000,5,True,Saturday
makan soto ayam,makanan,37000,5,True,Sunday
beli tiket festival,hiburan,98000,5,True,Sunday
pesan ayam geprek,makanan,16000,5,False,Tuesday
bayar parkir mall,transportasi,16000,5,False,Tuesday
makan di warteg,makanan,104000,5,False,Tuesday
perpanjang sewa kos,tempat_tinggal,3250000,5,False,Tuesday
bayar bpjs ketenagakerjaan,tagihan,283000,5,False,Tuesday
simpan untuk keperluan mendesak,tabungan,3000000,5,False,Tuesday
bonus tahunan masuk,bonus,3167000,5,False,Wednesday
proyek desain presentasi,freelance,1274000,5,False,Wednesday
biaya keamanan komplek,tempat_tinggal,2817000,5,False,Wednesday
beli nasi padang,makanan,91000,5,False,Wednesday
makan malam di restoran,makanan,148000,5,False,Wednesday
perpanjang sewa kos,tempat_tinggal,656000,5,False,Wednesday
beli modul belajar,pendidikan,318000,5,False,Wednesday
top up tabungan emas,investasi,1196000,5,False,Thursday
pesan grabfood,makanan,102000,5,False,Thursday
pesan gofood malam,makanan,88000,5,False,Thursday
pesan shopeefood siang,makanan,59000,5,False,Thursday
beli tiket kereta,transportasi,269000,5,False,Friday
bayar mcu tahunan,kesehatan,198000,5,False,Friday
beli obat bebas,kesehatan,156000,5,True,Saturday
beli topup game,hiburan,173000,5,True,Saturday
naik ojek online,transportasi,83000,5,True,Saturday
beli perlengkapan ibadah,lainnya,215000,5,True,Sunday
keuntungan dari portofolio,investasi,2063000,5,False,Monday
bayar premium spotify,tagihan,210000,5,False,Monday
bayar bpjs kesehatan,tagihan,250000,5,False,Monday
perpanjang paket internet,tagihan,173000,5,False,Tuesday
beli aplikasi belajar,pendidikan,86000,5,False,Wednesday
makan soto ayam,makanan,66000,5,False,Wednesday
tabungan masa depan,tabungan,2700000,5,False,Thursday
langganan netflix bulanan,hiburan,122000,5,False,Friday
bonus produksi,bonus,2183000,5,False,Friday
bayar kursus coding,pendidikan,944000,5,False,Friday
makan siang bareng teman,makanan,75000,5,True,Saturday
ganti ban motor,transportasi,357000,5,True,Saturday
pesan martabak,makanan,127000,5,True,Saturday
bayar parkir inap,transportasi,22000,5,True,Saturday
uang muka sewa kos,tempat_tinggal,1213000,5,True,Saturday
sewa ps sehari,hiburan,131000,5,True,Saturday
bonus tahunan masuk,bonus,4927000,5,True,Saturday
makan di warteg,makanan,30000,5,True,Saturday
pesan ayam geprek,makanan,14000,5,True,Saturday
keuntungan dari portofolio,investasi,4405000,5,True,Sunday
tagihan pln bulan ini,tagihan,500000,5,True,Sunday
iuran kebersihan lingkungan,tempat_tinggal,53000,5,True,Sunday
bayar deposit apartemen,tempat_tinggal,6927000,5,True,Sunday
makan di resto jepang,makanan,103000,5,True,Sunday
bayar paket data,tagihan,150000,5,True,Sunday
sewa kos bulanan,tempat_tinggal,2347000,5,True,Sunday
makan bareng keluarga,makanan,247000,5,False,Monday
bayar ipl apartemen,tempat_tinggal,3241000,5,False,Tuesday
bayar paket data,tagihan,45000,5,False,Tuesday
beli snack kantor,makanan,39000,5,False,Tuesday
transaksi harian rutin,lainnya,112000,5,False,Tuesday
naik taksi online,transportasi,55000,5,False,Wednesday
bayar parkir inap,transportasi,13000,5,False,Wednesday
isi saldo emoney,transportasi,63000,5,False,Thursday
beli bakso pinggir jalan,makanan,142000,5,False,Thursday
uang sewa bulan ini,tempat_tinggal,3244000,5,False,Thursday
bonus ekstra dari kantor,bonus,3289000,5,False,Friday
beli minuman kekinian,makanan,157000,5,False,Friday
proyek animasi klien,freelance,6905000,5,False,Friday
beli produk rumahan,lainnya,119000,5,False,Friday
jasa desain logo,freelance,4630000,5,False,Friday
bayar deposit apartemen,tempat_tinggal,6513000,5,False,Friday
naik bus transjakarta,transportasi,10000,5,True,Saturday
beli voucher game,hiburan,110000,5,True,Saturday
top up emas antam digital,investasi,1201000,5,True,Saturday
bayar premi asuransi,tagihan,348000,5,True,Saturday
beli tiket kereta,transportasi,378000,5,True,Saturday
makan bareng keluarga,makanan,330000,5,True,Sunday
gaji plus tunjangan,gaji,7873000,5,True,Sunday
biaya bensin mobil,transportasi,241000,5,True,Sunday
pesan burger online,makanan,64000,5,True,Sunday
uang muka sewa kos,tempat_tinggal,1358000,5,False,Monday
makan di resto jepang,makanan,72000,5,False,Monday
bayaran proyek data entry,freelance,467000,5,False,Monday
profit dari reksa dana,investasi,2340000,5,False,Monday
bayaran proyek freelance,freelance,3509000,5,False,Tuesday
bayar paket data,tagihan,100000,5,False,Wednesday
langganan youtube premium,hiburan,154000,5,False,Wednesday
pesan ayam geprek,makanan,30000,5,False,Wednesday
