transaction_id,user_id,date,transaction_type,category,payment_mode,location,notes,year_month,month,day_of_week,is_weekend,year,amount_idr
T4607,U143,2021-02-01,expense,tagihan,qris,bandung,bayar tagihan air,2021-02,2,Monday,False,2021,94000
T9367,U118,2021-02-01,income,investasi,kartu,jakarta,beli saham teknologi,2021-02,2,Monday,False,2021,6725000
T7053,U020,2021-02-01,expense,transportasi,tunai,surabaya,servis AC mobil,2021-02,2,Monday,False,2021,880000
T9322,U129,2021-02-02,expense,pendidikan,qris,denpasar,bayar UKT semester,2021-02,2,Tuesday,False,2021,306000
T2440,U100,2021-02-03,expense,tagihan,bank_transfer,denpasar,bayar wifi rumah,2021-02,2,Wednesday,False,2021,372000
T9320,U124,2021-02-03,income,gaji,ewallet,denpasar,gaji plus lembur,2021-02,2,Wednesday,False,2021,15089000
T13075,U067,2021-02-03,expense,makanan,tunai,makassar,makan malam di restoran,2021-02,2,Wednesday,False,2021,74000
T0119,U057,2021-02-03,income,lainnya,bank_transfer,yogyakarta,beli perlengkapan kamar,2021-02,2,Wednesday,False,2021,240000
T3746,U052,2021-02-03,expense,tagihan,bank_transfer,medan,bayar TV kabel,2021-02,2,Wednesday,False,2021,371000
T1776,U138,2021-02-03,expense,lainnya,tunai,balikpapan,beli perlengkapan ibadah,2021-02,2,Wednesday,False,2021,242000
T3219,U128,2021-02-03,expense,tagihan,tunai,bandung,bayar tagihan phone,2021-02,2,Wednesday,False,2021,201000
T11045,U071,2021-02-03,expense,makanan,kartu,surabaya,makan di warteg,2021-02,2,Wednesday,False,2021,159000
T2326,U093,2021-02-04,expense,makanan,qris,semarang,pesan nasi goreng online,2021-02,2,Thursday,False,2021,19000
T7962,U057,2021-02-04,expense,tempat_tinggal,kartu,denpasar,bayar IPL apartemen,2021-02,2,Thursday,False,2021,7588000
T12305,U128,2021-02-05,expense,hiburan,kartu,medan,main biliar,2021-02,2,Friday,False,2021,300000
T13046,U137,2021-02-06,expense,transportasi,kartu,palembang,biaya bensin mobil,2021-02,2,Saturday,True,2021,106000
T0387,U028,2021-02-06,expense,tempat_tinggal,bank_transfer,palembang,deposit awal sewa,2021-02,2,Saturday,True,2021,4305000
T8370,U114,2021-02-06,expense,makanan,qris,semarang,pesan grabfood,2021-02,2,Saturday,True,2021,86000
T13918,U115,2021-02-06,expense,makanan,tunai,surabaya,makan siang bareng teman,2021-02,2,Saturday,True,2021,74000
T10132,U119,2021-02-06,expense,tempat_tinggal,ewallet,semarang,iuran kebersihan lingkungan,2021-02,2,Saturday,True,2021,35000
T1950,U041,2021-02-07,expense,tempat_tinggal,qris,medan,bayar uang kebersihan,2021-02,2,Sunday,True,2021,67000
T4093,U098,2021-02-07,expense,makanan,tunai,surabaya,beli jajanan pasar,2021-02,2,Sunday,True,2021,59000
T0075,U109,2021-02-07,expense,tempat_tinggal,tunai,palembang,biaya keamanan komplek,2021-02,2,Sunday,True,2021,2611000
T3102,U135,2021-02-07,expense,tagihan,qris,unknown,bayar BPJS kesehatan,2021-02,2,Sunday,True,2021,190000
T0409,U137,2021-02-08,expense,tagihan,ewallet,jakarta,bayar paket data,2021-02,2,Monday,False,2021,195000
T11015,U138,2021-02-08,expense,makanan,qris,bandung,makan di mcdonald,2021-02,2,Monday,False,2021,63000
T1010,U054,2021-02-08,expense,makanan,ewallet,yogyakarta,pesan pizza online,2021-02,2,Monday,False,2021,84000
T4850,U016,2021-02-09,expense,kesehatan,tunai,yogyakarta,beli alat tensi,2021-02,2,Tuesday,False,2021,329000
T4721,U036,2021-02-09,expense,tagihan,tunai,makassar,bayar tagihan listrik,2021-02,2,Tuesday,False,2021,203000
T10939,U065,2021-02-10,expense,makanan,tunai,semarang,pesan grabfood,2021-02,2,Wednesday,False,2021,90000
T5013,U049,2021-02-11,expense,transportasi,kartu,surabaya,ganti ban motor,2021-02,2,Thursday,False,2021,550000
T5425,U032,2021-02-11,expense,hiburan,tunai,denpasar,nonton konser online,2021-02,2,Thursday,False,2021,379000
T6384,U132,2021-02-12,expense,tempat_tinggal,kartu,balikpapan,biaya pengelolaan apartemen,2021-02,2,Friday,False,2021,5922000
T0960,U096,2021-02-12,expense,pendidikan,tunai,semarang,beli kamus,2021-02,2,Friday,False,2021,305000
T7431,U149,2021-02-12,expense,transportasi,kartu,semarang,naik KRL commuter line,2021-02,2,Friday,False,2021,140000
T11657,U131,2021-02-12,expense,tempat_tinggal,kartu,palembang,bayar deposit apartemen,2021-02,2,Friday,False,2021,2744000
T6964,U111,2021-02-12,expense,pendidikan,tunai,yogyakarta,beli kamus,2021-02,2,Friday,False,2021,154000
T11713,U136,2021-02-12,expense,transportasi,kartu,bandung,beli tiket kereta,2021-02,2,Friday,False,2021,356000
T6478,U135,2021-02-12,expense,kesehatan,tunai,surabaya,tes laboratorium,2021-02,2,Friday,False,2021,341000
T2387,U006,2021-02-12,income,freelance,kartu,yogyakarta,pendapatan proyek konten,2021-02,2,Friday,False,2021,1680000
T13586,U089,2021-02-12,income,investasi,kartu,denpasar,beli SBN ritel,2021-02,2,Friday,False,2021,7581000
T7587,U101,2021-02-13,expense,hiburan,bank_transfer,medan,nonton konser online,2021-02,2,Saturday,True,2021,457000
T11992,U004,2021-02-13,expense,transportasi,kartu,bandung,naik gojek pulang,2021-02,2,Saturday,True,2021,32000
T13339,U065,2021-02-13,expense,makanan,tunai,makassar,pesan martabak,2021-02,2,Saturday,True,2021,88000
T1021,U117,2021-02-13,expense,tagihan,bank_transfer,jakarta,bayar premium Spotify,2021-02,2,Saturday,True,2021,269000
T11148,U085,2021-02-13,expense,hiburan,kartu,surabaya,nonton bioskop bareng,2021-02,2,Saturday,True,2021,165000
T0503,U047,2021-02-13,income,bonus,bank_transfer,bandung,bonus ekstra dari kantor,2021-02,2,Saturday,True,2021,3490000
T7959,U142,2021-02-14,expense,tempat_tinggal,ewallet,jakarta,biaya keamanan komplek,2021-02,2,Sunday,True,2021,1937000
T7658,U095,2021-02-14,expense,makanan,bank_transfer,makassar,pesan dim sum,2021-02,2,Sunday,True,2021,124000
T8030,U136,2021-02-14,expense,tempat_tinggal,kartu,bandung,bayar kos bulanan,2021-02,2,Sunday,True,2021,1067000
T6213,U088,2021-02-14,expense,transportasi,tunai,semarang,naik KRL commuter line,2021-02,2,Sunday,True,2021,140000
T5774,U005,2021-02-14,expense,makanan,kartu,bandung,makan di kantin,2021-02,2,Sunday,True,2021,42000
T11191,U086,2021-02-14,expense,makanan,bank_transfer,bandung,beli minuman kekinian,2021-02,2,Sunday,True,2021,62000
T5799,U097,2021-02-14,income,gaji,qris,palembang,gaji diterima bulan ini,2021-02,2,Sunday,True,2021,15216000
T12089,U086,2021-02-15,expense,tagihan,kartu,unknown,bayar wifi rumah,2021-02,2,Monday,False,2021,324000
T1839,U131,2021-02-15,expense,makanan,kartu,semarang,makan di food court,2021-02,2,Monday,False,2021,115000
T9319,U100,2021-02-15,income,lainnya,bank_transfer,yogyakarta,belanja kebutuhan bulanan,2021-02,2,Monday,False,2021,285000
T11562,U137,2021-02-15,expense,tempat_tinggal,kartu,yogyakarta,bayar kontrakan,2021-02,2,Monday,False,2021,2153000
T6190,U077,2021-02-16,expense,tagihan,qris,yogyakarta,bayar pulsa bulanan,2021-02,2,Tuesday,False,2021,193000
T7309,U130,2021-02-16,expense,tempat_tinggal,bank_transfer,palembang,perpanjang kontrak rumah,2021-02,2,Tuesday,False,2021,2049000
T12863,U011,2021-02-16,expense,tempat_tinggal,qris,surabaya,bayar kontrakan,2021-02,2,Tuesday,False,2021,1984000
T7916,U087,2021-02-16,expense,makanan,kartu,palembang,pesan martabak,2021-02,2,Tuesday,False,2021,72000
T10991,U092,2021-02-17,expense,transportasi,bank_transfer,balikpapan,top up kartu e-toll,2021-02,2,Wednesday,False,2021,55000
T0663,U067,2021-02-17,expense,transportasi,bank_transfer,yogyakarta,naik MRT Jakarta,2021-02,2,Wednesday,False,2021,109000
T6970,U049,2021-02-17,expense,tagihan,tunai,yogyakarta,bayar tagihan air,2021-02,2,Wednesday,False,2021,119000
T1364,U048,2021-02-17,expense,tempat_tinggal,qris,jakarta,perpanjang kontrak rumah,2021-02,2,Wednesday,False,2021,4247000
T2219,U012,2021-02-18,income,freelance,kartu,medan,proyek desain presentasi,2021-02,2,Thursday,False,2021,4740000
T12162,U083,2021-02-18,expense,makanan,bank_transfer,jakarta,pesan pizza online,2021-02,2,Thursday,False,2021,117000
T10869,U135,2021-02-18,expense,transportasi,bank_transfer,semarang,bayar parkir mall,2021-02,2,Thursday,False,2021,30000
T6430,U046,2021-02-19,income,gaji,kartu,bandung,penerimaan upah kerja,2021-02,2,Friday,False,2021,15509000
T9187,U138,2021-02-19,expense,tempat_tinggal,tunai,surabaya,uang sewa bulan ini,2021-02,2,Friday,False,2021,1874000
T9166,U051,2021-02-19,income,freelance,kartu,jakarta,pendapatan kursus online,2021-02,2,Friday,False,2021,1313000
T10417,U096,2021-02-19,expense,tempat_tinggal,qris,palembang,uang muka sewa kos,2021-02,2,Friday,False,2021,1637000
T13284,U045,2021-02-19,expense,tempat_tinggal,bank_transfer,balikpapan,bayar uang kebersihan,2021-02,2,Friday,False,2021,65000
T8251,U045,2021-02-20,expense,lainnya,ewallet,balikpapan,transaksi harian rutin,2021-02,2,Saturday,True,2021,234000
T4543,U043,2021-02-20,expense,tagihan,qris,denpasar,bayar paket data,2021-02,2,Saturday,True,2021,131000
T7408,U077,2021-02-20,expense,transportasi,kartu,surabaya,isi saldo e-money,2021-02,2,Saturday,True,2021,110000
T12820,U044,2021-02-20,expense,makanan,tunai,makassar,makan di kantin,2021-02,2,Saturday,True,2021,18000
T12249,U045,2021-02-20,expense,makanan,qris,bandung,pesan burger online,2021-02,2,Saturday,True,2021,47000
T5637,U063,2021-02-20,expense,makanan,tunai,palembang,beli cilok,2021-02,2,Saturday,True,2021,62000
T13624,U116,2021-02-21,expense,kesehatan,bank_transfer,balikpapan,beli alat tensi,2021-02,2,Sunday,True,2021,387000
T7718,U110,2021-02-21,expense,tempat_tinggal,qris,balikpapan,iuran kebersihan lingkungan,2021-02,2,Sunday,True,2021,78000
T6953,U142,2021-02-21,income,gaji,kartu,palembang,gaji diterima bulan ini,2021-02,2,Sunday,True,2021,6288000
T12169,U136,2021-02-21,expense,pendidikan,tunai,yogyakarta,beli buku referensi,2021-02,2,Sunday,True,2021,178000
T4786,U009,2021-02-21,expense,hiburan,ewallet,palembang,beli tiket konser,2021-02,2,Sunday,True,2021,630000
T3356,U079,2021-02-22,expense,transportasi,bank_transfer,bandung,naik ojek online,2021-02,2,Monday,False,2021,76000
T11953,U051,2021-02-22,expense,pendidikan,bank_transfer,balikpapan,beli buku pelajaran,2021-02,2,Monday,False,2021,205000
T3226,U039,2021-02-22,expense,makanan,tunai,jakarta,beli bubur pagi,2021-02,2,Monday,False,2021,30000
T8403,U116,2021-02-22,expense,pendidikan,bank_transfer,yogyakarta,beli aplikasi belajar,2021-02,2,Monday,False,2021,50000
T3870,U011,2021-02-22,expense,makanan,ewallet,makassar,beli bubur pagi,2021-02,2,Monday,False,2021,25000
T0089,U061,2021-02-23,expense,pendidikan,bank_transfer,semarang,beli buku pelajaran,2021-02,2,Tuesday,False,2021,219000
T0651,U038,2021-02-23,expense,tempat_tinggal,qris,bandung,bayar kontrakan,2021-02,2,Tuesday,False,2021,4048000
T6305,U076,2021-02-23,expense,tagihan,bank_transfer,surabaya,bayar wifi rumah,2021-02,2,Tuesday,False,2021,461000
T12084,U066,2021-02-23,income,freelance,tunai,surabaya,bayaran proyek desain UI,2021-02,2,Tuesday,False,2021,1680000
T4329,U052,2021-02-23,expense,makanan,kartu,unknown,makan di warteg,2021-02,2,Tuesday,False,2021,57000
T3602,U143,2021-02-24,income,gaji,tunai,jakarta,pembayaran upah bulanan,2021-02,2,Wednesday,False,2021,18370000
T1916,U100,2021-02-24,income,freelance,tunai,palembang,proyek website klien,2021-02,2,Wednesday,False,2021,8843000
T7327,U051,2021-02-24,expense,transportasi,kartu,unknown,naik ojek online,2021-02,2,Wednesday,False,2021,126000
T4433,U119,2021-02-24,expense,tempat_tinggal,qris,bandung,bayar kontrakan,2021-02,2,Wednesday,False,2021,4200000
T1291,U036,2021-02-24,expense,hiburan,bank_transfer,jakarta,langganan YouTube premium,2021-02,2,Wednesday,False,2021,270000
T3939,U011,2021-02-24,expense,hiburan,qris,jakarta,karaoke bareng teman,2021-02,2,Wednesday,False,2021,512000
T13504,U087,2021-02-24,expense,makanan,qris,semarang,beli jajanan pasar,2021-02,2,Wednesday,False,2021,121000
T4767,U007,2021-02-25,expense,transportasi,ewallet,palembang,bayar parkir inap,2021-02,2,Thursday,False,2021,19000
T3676,U136,2021-02-25,expense,tagihan,kartu,bandung,bayar cicilan motor,2021-02,2,Thursday,False,2021,255000
T11036,U024,2021-02-26,expense,tempat_tinggal,tunai,denpasar,uang muka sewa kos,2021-02,2,Friday,False,2021,2438000
T6143,U072,2021-02-26,expense,transportasi,tunai,yogyakarta,bayar parkir kantor,2021-02,2,Friday,False,2021,12000
T12328,U006,2021-02-26,expense,pendidikan,kartu,makassar,bayar les privat,2021-02,2,Friday,False,2021,238000
T5080,U111,2021-02-26,expense,makanan,tunai,palembang,makan di kfc,2021-02,2,Friday,False,2021,41000
T8498,U105,2021-02-27,expense,tagihan,tunai,medan,bayar asuransi jiwa,2021-02,2,Saturday,True,2021,568000
T4396,U100,2021-02-27,expense,tempat_tinggal,kartu,palembang,perpanjang kontrak rumah,2021-02,2,Saturday,True,2021,4500000
T8524,U078,2021-02-27,expense,tagihan,tunai,palembang,bayar langganan iCloud,2021-02,2,Saturday,True,2021,14000
T1982,U089,2021-02-27,income,lainnya,ewallet,palembang,transaksi harian rutin,2021-02,2,Saturday,True,2021,189000
T11686,U146,2021-02-27,expense,transportasi,qris,medan,naik KRL commuter line,2021-02,2,Saturday,True,2021,54000
T3498,U143,2021-02-28,expense,kesehatan,kartu,unknown,beli vitamin dan suplemen,2021-02,2,Sunday,True,2021,137000
T4923,U047,2021-02-28,income,investasi,bank_transfer,medan,top up emas Antam digital,2021-02,2,Sunday,True,2021,2396000
T3325,U074,2021-02-28,income,freelance,qris,makassar,bayaran jasa foto produk,2021-02,2,Sunday,True,2021,5020000
